venue,cc4,amount,clock,day
Kalami Kafenion,9635,71.14,19:39:00,2014-01-18
Guy's Gyros,6816,78.36,19:39:00,2014-01-18
Hippokampos,8332,63.21,19:42:00,2014-01-18
Roberts and Sons,7688,125.35,19:46:00,2014-01-18
Katerina's Cafe,8202,11.19,19:46:00,2014-01-18
Ouzeri Elian,2681,14.9,19:46:00,2014-01-18
Katerina's Cafe,4948,16.48,19:47:00,2014-01-18
Katerina's Cafe,3547,76.1,19:53:00,2014-01-18
Katerina's Cafe,1310,33.63,19:54:00,2014-01-18
Katerina's Cafe,2418,32.68,19:56:00,2014-01-18
Hippokampos,1286,49.21,20:01:00,2014-01-18
Katerina's Cafe,9405,17.37,20:01:00,2014-01-18
Katerina's Cafe,8411,45.88,20:04:00,2014-01-18
General Grocer,6901,108.49,20:07:00,2014-01-18
Katerina's Cafe,7354,19.31,20:09:00,2014-01-18
Hippokampos,1415,72.5,20:11:00,2014-01-18
Katerina's Cafe,3853,9.72,20:13:00,2014-01-18
Katerina's Cafe,7819,37.21,20:15:00,2014-01-18
Hippokampos,1877,29.21,20:23:00,2014-01-18
Hippokampos,7117,55.03,20:26:00,2014-01-18
Kronos Mart,3484,87.66,03:13:00,2014-01-19
Kronos Mart,9551,194.51,03:45:00,2014-01-19
Kronos Mart,8332,150.36,03:48:00,2014-01-19
Desafio Golf Course,8156,150.07,12:41:00,2014-01-19
Desafio Golf Course,7688,145.72,12:57:00,2014-01-19
Katerina's Cafe,7354,35.01,13:00:00,2014-01-19
Gelatogalore,6895,22.36,13:09:00,2014-01-19
Katerina's Cafe,4795,70.22,13:23:00,2014-01-19
Ahaggo Museum,9241,26.91,13:26:00,2014-01-19
Ouzeri Elian,3484,23.65,13:27:00,2014-01-19
Hippokampos,2142,64.37,13:33:00,2014-01-19
Desafio Golf Course,8332,190.91,13:51:00,2014-01-19
Katerina's Cafe,4434,26.76,13:53:00,2014-01-19
Katerina's Cafe,1310,12.78,14:01:00,2014-01-19
Ouzeri Elian,7384,45.32,14:08:00,2014-01-19
Katerina's Cafe,3492,54.2,14:20:00,2014-01-19
Abila Zacharo,6901,47.8,14:20:00,2014-01-19
General Grocer,6895,70.22,15:03:00,2014-01-19
Desafio Golf Course,2463,110.02,15:15:00,2014-01-19
Frydos Autosupply n' More,3484,56.09,15:26:00,2014-01-19
Albert's Fine Clothing,2142,274.66,15:39:00,2014-01-19
Desafio Golf Course,5010,148.22,15:46:00,2014-01-19
Frydos Autosupply n' More,4795,209.76,15:53:00,2014-01-19
Katerina's Cafe,3547,72.25,18:54:00,2014-01-19
Hippokampos,9635,101.25,19:43:00,2014-01-19
Hippokampos,8332,48.23,19:43:00,2014-01-19
Hippokampos,1321,88.27,19:44:00,2014-01-19
Hippokampos,6895,46.32,19:44:00,2014-01-19
Guy's Gyros,7384,65.21,19:45:00,2014-01-19
Guy's Gyros,1286,23.21,19:45:00,2014-01-19
Guy's Gyros,3484,58.35,19:45:00,2014-01-19
Frydos Autosupply n' More,9405,98.04,19:45:00,2014-01-19
Guy's Gyros,5010,25.79,19:45:00,2014-01-19
Ouzeri Elian,6899,67.98,19:48:00,2014-01-19
Ouzeri Elian,9551,32.77,19:49:00,2014-01-19
Guy's Gyros,6816,100.36,19:49:00,2014-01-19
Katerina's Cafe,7889,34.03,19:53:00,2014-01-19
Shoppers' Delight,2142,30.39,19:56:00,2014-01-19
Hippokampos,2463,63.17,19:56:00,2014-01-19
Guy's Gyros,7354,18.08,20:00:00,2014-01-19
Albert's Fine Clothing,2540,254.29,20:02:00,2014-01-19
Katerina's Cafe,1874,33.79,20:05:00,2014-01-19
Guy's Gyros,7108,36.87,20:14:00,2014-01-19
Hippokampos,1415,78.96,20:16:00,2014-01-19
Guy's Gyros,9683,37.48,20:16:00,2014-01-19
Katerina's Cafe,9617,38.9,20:22:00,2014-01-19
Guy's Gyros,3853,20.94,20:25:00,2014-01-19
Guy's Gyros,4434,31.94,20:30:00,2014-01-19
Guy's Gyros,6901,39.6,20:51:00,2014-01-19
